id,fecha,usuario,nombre,texto,likes,retweets,respuestas,vistas,es_verificado,url,hashtags,num_respuestas_descargadas
883504397191442440,2017-07-08T01:53:57Z,caracasreflex,Caracas Reflex,"Las #chistorras que sirven en este lugar, primero es la cama de papas y luego el ambiente para conversar entre ami… http://bitly.com/2szFSrs https://pbs.twimg.com/media/DELWkNwWAAAIHzq.jpg",2,1,0,0,False,https://twitter.com/caracasreflex/status/883504397191442440,chistorras,0
880801349453189120,2017-06-30T14:53:00Z,BelleVueCaracas,BelleVueCaracas,"Si eres de los que inicia el día pensando en el almuerzo, te ofrecemos unas crocantes #chistorras de entrada.",0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/880801349453189120,chistorras,0
877673768700833798,2017-06-21T23:45:07Z,lamontserratina,La Montserratina,¿Qué ingrediente le da su provocativo color rojo a las #Chistorras? #TriviaParrillera https://pbs.twimg.com/media/DC4fo2vWAAEEI1m.jpg,0,1,4,0,False,https://twitter.com/lamontserratina/status/877673768700833798,"Chistorras,TriviaParrillera",0
871801849996881920,2017-06-05T18:52:12Z,Brisa_de_espana,Brisa de España,"Fried #Chistorras and Spanish beers are a ""must eat"" in our place and you will want to come back 👌🏼. #artesaniasfromspain #appetizer #yummy https://pbs.twimg.com/media/DBlDJ1RVoAEO34U.jpg",2,1,0,0,False,https://twitter.com/Brisa_de_espana/status/871801849996881920,"Chistorras,artesaniasfromspain,appetizer,yummy",0
870683964029116416,2017-06-02T16:50:08Z,VilasecaCol,Vilaseca,Debajo del queso fundido y junto a increíbles #chistorras se encuentra el punto perfecto de los huevos rotos #viernes de #tapas. #vilaseca.😋 https://pbs.twimg.com/media/DBVKctWUQAAY0v-.jpg,2,0,0,0,False,https://twitter.com/VilasecaCol/status/870683964029116416,"chistorras,viernes,tapas,vilaseca",0
870379928633483264,2017-06-01T20:42:00Z,BelleVueCaracas,BelleVueCaracas,"Si eres de los que no se resiste a la llegada del plato fuerte, comienza ordenando una ración de #chistorras. https://pbs.twimg.com/media/DBPhT3NXUAAHJJg.png",1,0,0,0,False,https://twitter.com/BelleVueCaracas/status/870379928633483264,chistorras,0
860614079378989056,2017-05-05T21:56:00Z,BelleVueCaracas,BelleVueCaracas,¿Con qué prefieres una ración de #chistorras? ¿Con una pizca de guasacaca o de picante? https://pbs.twimg.com/media/C_FIpywXcAMOk6f.png,0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/860614079378989056,chistorras,0
851388672876347393,2017-04-10T10:57:32Z,mesondelasador1,Meson del Asador,"Nuestros clásicos irresistibles :) 
#Huevos #Chistorras #Patatas 
Mesón del Asador #Yvengaadisfrutar 
Jerez de la... http://fb.me/4zv00R9tI",0,0,0,0,False,https://twitter.com/mesondelasador1/status/851388672876347393,"Huevos,Chistorras,Patatas,Yvengaadisfrutar",0
850540687389061122,2017-04-08T02:47:56Z,ilfedro,Sr. Federico,#Chistorras #Esparragos #CamaronesAlAjillo #CerdoALaVasca #Gordo #Feliz @ Casa Alejandro… https://www.instagram.com/p/BSm6_JfAVDu/,0,0,0,0,False,https://twitter.com/ilfedro/status/850540687389061122,"Chistorras,Esparragos,CamaronesAlAjillo,CerdoALaVasca,Gordo,Feliz",0
848970025524396032,2017-04-03T18:46:41Z,Monstruo929,MONSTRUO D LA MAÑANA,#Chistorras 8x8 👩‍🎓 #MonstruoDLM: http://youtu.be/q6BU-GV3i9I?a vía @YouTube,0,0,0,0,False,https://twitter.com/Monstruo929/status/848970025524396032,"Chistorras,MonstruoDLM",0
844527721841655809,2017-03-22T12:34:34Z,Monstruo929,MONSTRUO D LA MAÑANA,#Chistorras Nombre del bebé de Shakira 👶🏻 #MonstruoDLM: http://youtu.be/_xY913f67_w?a vía @YouTube,0,0,0,0,False,https://twitter.com/Monstruo929/status/844527721841655809,"Chistorras,MonstruoDLM",0
843954226673934347,2017-03-20T22:35:42Z,Monstruo929,MONSTRUO D LA MAÑANA,#Chistorras Hijo de Shakira con afro 🙈🙉🙊 #MonstruoDLM: http://youtu.be/v5_DINO5U-o?a vía @YouTube,0,0,0,0,False,https://twitter.com/Monstruo929/status/843954226673934347,"Chistorras,MonstruoDLM",0
843274462770487301,2017-03-19T01:34:33Z,CarlosJRojas13,Carlos Julio Rojas,Ahora degustando unas @PolarPilsen y exquisitas #chistorras con mi #hermanodelalma Dómel en la #TascaElArenal de nuestra amada #Candelaria.,0,0,1,0,False,https://twitter.com/CarlosJRojas13/status/843274462770487301,"chistorras,hermanodelalma,TascaElArenal,Candelaria",0
841350696578478084,2017-03-13T18:10:12Z,polobistro,Polo Bistró,"#Chistorras con panes, excelente entrada. 

Demasiado bueno para ser cierto. 

Abrimos de miércoles a domingo. 
#restaurant #entrada https://pbs.twimg.com/media/C60T8lzWsAAIF-f.jpg",0,0,0,0,False,https://twitter.com/polobistro/status/841350696578478084,"Chistorras,restaurant,entrada",0
838415158766624768,2017-03-05T15:45:25Z,denaona,Bar Rest. Dena Ona,Los domingos las calorías no cuentan. #chistorras #restaurant #bar #marisqueria #chacao #caracas #elrosal @denaona https://pbs.twimg.com/media/C6KlJ7KXMAE2U7b.jpg,0,0,0,0,False,https://twitter.com/denaona/status/838415158766624768,"chistorras,restaurant,bar,marisqueria,chacao,caracas,elrosal",0
833498852414091264,2017-02-20T02:09:46Z,SibaritaBus,SibaritaBus,#Chistorras con un toque de #whisky. Uno de los productos que @carlosd93 compartió con los… https://www.instagram.com/p/BQs-L8klQor/,0,0,0,0,False,https://twitter.com/SibaritaBus/status/833498852414091264,"Chistorras,whisky",0
832309787945758721,2017-02-16T19:24:51Z,DOLLARTOGOPLUS,DollarToGoPlus,#Chistorras #Españolas 🇪🇸 en #DollartogoPlus #MiniMarket #Valrico #Brandon #Lithia #Fishhawk… https://www.instagram.com/p/BQlYh77lb4K/,0,0,0,0,False,https://twitter.com/DOLLARTOGOPLUS/status/832309787945758721,"Chistorras,Españolas,DollartogoPlus,MiniMarket,Valrico,Brandon,Lithia,Fishhawk",0
